Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/6391-Reubens-Dr-Huntington-Beach-CA-92647/25267134_zpid/,,Single Family,1600000,11/4/24,2293,sqft,697.78,6000,sqft,4,3,6391 Reubens Dr,Huntington Beach,92647,CA,USA
https://www.zillow.com/homedetails/7821-Connie-Dr-Huntington-Beach-CA-92648/25288734_zpid/,,Single Family,1155000,11/4/24,1932,sqft,597.83,4200,sqft,3,3,7821 Connie Dr,Huntington Beach,92648,CA,USA
https://www.zillow.com/homedetails/19941-Isthmus-Ln-Huntington-Beach-CA-92646/25277169_zpid/,,Single Family,1050000,11/1/24,1132,sqft,927.56,6112,sqft,3,2,19941 Isthmus Ln,Huntington Beach,92646,CA,USA
https://www.zillow.com/homedetails/8521-Naples-Dr-Huntington-Beach-CA-92646/25279835_zpid/,,Single Family,1560000,11/1/24,2085,sqft,748.2,5959,sqft,4,3,8521 Naples Dr,Huntington Beach,92646,CA,USA
https://www.zillow.com/homedetails/20692-Lavonne-Ln-Huntington-Beach-CA-92646/25282135_zpid/,,Single Family,1810000,11/1/24,3500,sqft,517.14,7300,sqft,5,5,20692 Lavonne Ln,Huntington Beach,92646,CA,USA
https://www.zillow.com/homedetails/10172-Edye-Dr-Huntington-Beach-CA-92646/25282138_zpid/,,Single Family,2100000,11/1/24,2328,sqft,902.06,6481,sqft,5,4,10172 Edye Dr,Huntington Beach,92646,CA,USA
https://www.zillow.com/homedetails/18207-Leaf-Cir-Huntington-Beach-CA-92648/25288533_zpid/,,Single Family,1450000,11/1/24,1927,sqft,752.46,6000,sqft,3,3,18207 Leaf Cir,Huntington Beach,92648,CA,USA
https://www.zillow.com/homedetails/7772-Liberty-Dr-Huntington-Beach-CA-92647/25292730_zpid/,,Single Family,1000000,11/1/24,1665,sqft,600.6,3000,sqft,3,3,7772 Liberty Dr,Huntington Beach,92647,CA,USA
https://www.zillow.com/homedetails/5641-Spa-Dr-Huntington-Beach-CA-92647/25304245_zpid/,,Single Family,1250000,11/1/24,1405,sqft,889.68,6000,sqft,4,2,5641 Spa Dr,Huntington Beach,92647,CA,USA
https://www.zillow.com/homedetails/19105-Chandon-Ln-Huntington-Beach-CA-92648/51624428_zpid/,,Single Family,3100000,11/1/24,3213,sqft,964.83,6290,sqft,4,6,19105 Chandon Ln,Huntington Beach,92648,CA,USA
https://www.zillow.com/homedetails/623-7th-St-Huntington-Beach-CA-92648/25113004_zpid/,,Single Family,2550000,10/31/24,2767,sqft,921.58,5875,sqft,3,3,623 7th St,Huntington Beach,92648,CA,USA
https://www.zillow.com/homedetails/511-7th-St-Huntington-Beach-CA-92648/25113088_zpid/,,Single Family,2525000,10/31/24,2741,sqft,921.2,2938,sqft,3,4,511 7th St,Huntington Beach,92648,CA,USA
https://www.zillow.com/homedetails/18729-Ashford-Ln-Huntington-Beach-CA-92648/25210859_zpid/,,Single Family,1800000,10/31/24,2000,sqft,900,3600,sqft,3,3,18729 Ashford Ln,Huntington Beach,92648,CA,USA
https://www.zillow.com/homedetails/21011-Manessa-Cir-Huntington-Beach-CA-92646/25270378_zpid/,,Single Family,1350000,10/31/24,1683,sqft,802.14,7200,sqft,4,3,21011 Manessa Cir,Huntington Beach,92646,CA,USA
